Dialogue_Act,Utterance
INTRODUCE,mein Name ist Keller $K $E Doppel-$L $E $R
INIT,es geht um den Termin den wir für nächste Woche vereinbaren wollten vielleicht
GREET,ja hallo Herr Keller
INTRODUCE,mein Name ist Mengele $M $E $N $G $E $L $E
INIT,ja wir wollen doch ge nach Hannover
INIT,es geht um den Termin den wir für nächste Woche vereinbaren wollten vielleicht
GREET,ja hallo Herr Keller
INTRODUCE,mein Name ist Mengele $M $E $N $G $E $L $E
INIT,ja wir wollen doch ge nach Hannover
REQUEST_SUGGEST,wann hätten Sie denn mal Zeit
GREET,ja hallo Herr Keller
INTRODUCE,mein Name ist Mengele $M $E $N $G $E $L $E
INIT,ja wir wollen doch ge nach Hannover
REQUEST_SUGGEST,wann hätten Sie denn mal Zeit
INFORM,zu unserm Termin
INTRODUCE,mein Name ist Mengele $M $E $N $G $E $L $E
INIT,ja wir wollen doch ge nach Hannover
REQUEST_SUGGEST,wann hätten Sie denn mal Zeit
INFORM,zu unserm Termin
REQUEST_COMMENT,ja <ähm> haben Sie Ihren Dienstkalender da
INIT,ja wir wollen doch ge nach Hannover
REQUEST_SUGGEST,wann hätten Sie denn mal Zeit
INFORM,zu unserm Termin
REQUEST_COMMENT,ja <ähm> haben Sie Ihren Dienstkalender da
FEEDBACK_POSITIVE,ja hätte ich da
REQUEST_SUGGEST,wann hätten Sie denn mal Zeit
INFORM,zu unserm Termin
REQUEST_COMMENT,ja <ähm> haben Sie Ihren Dienstkalender da
FEEDBACK_POSITIVE,ja hätte ich da
DELIBERATE,also es geht bei mir
INFORM,zu unserm Termin
REQUEST_COMMENT,ja <ähm> haben Sie Ihren Dienstkalender da
FEEDBACK_POSITIVE,ja hätte ich da
DELIBERATE,also es geht bei mir
INFORM,wir brauchen zwei Tage um die Firma zu besichtigen denke ich
REQUEST_COMMENT,ja <ähm> haben Sie Ihren Dienstkalender da
FEEDBACK_POSITIVE,ja hätte ich da
DELIBERATE,also es geht bei mir
INFORM,wir brauchen zwei Tage um die Firma zu besichtigen denke ich
SUGGEST,und ich hätte Zeit schon am achten neunten April gleich am Anfang des Monats
FEEDBACK_POSITIVE,ja hätte ich da
DELIBERATE,also es geht bei mir
INFORM,wir brauchen zwei Tage um die Firma zu besichtigen denke ich
SUGGEST,und ich hätte Zeit schon am achten neunten April gleich am Anfang des Monats
BACKCHANNEL,mhm
DELIBERATE,also es geht bei mir
INFORM,wir brauchen zwei Tage um die Firma zu besichtigen denke ich
