category,text
Positive , hoo mammokka police vesham aaha anthas
Positive , Oru rekshayum illa...kidilam kannu nananjupoyi
Positive , Ikka     waiting.........
Positive , Raju Ettante Oro Shorttum Ijathi ppwli
Positive , Ettan fansil netti poya aarenkilum undo?    #maduraraja#waiting #
not-malayalam , Waiting to see mammukaas undaa 🤣
Positive , Last aa chadi adi.... Uff.        Frm an ettan fan
unknown_state , 1 day achu 5 million views kooda varla
Positive , heavy mass
unknown_state , I a m a katta mammookka fan
Mixed_feelings , Pulimurgan 2 adyam oralde thallu. Pinne same kattil ottakkulla adi.
Positive , Nte ponno oru raksha Illa Ennaaa Trailer
Positive , Mammookka fans like adi. Love u ikka
unknown_state , Dislike adikan keri like adichath njaan mathramaano?
unknown_state , Enada Oru English comment kuda kanom
Positive , Oh mass o mass laletta katta waiting....Bgm
Positive , Ith powlichu vaariyitte pooku....
Negative , 7.3k dislike adichavanmaarod onne parayanollu......  OMKV
not-malayalam , Malayali friends lalettan padam epdi irukku
Positive , June 16 Keralakara ilakki marikkum ikka
unknown_state , Ithu  Verum unda alla Machinegun  Nirachum undayulla machinegun
Mixed_feelings , Padam kandu kollaam pakshe chila idangalil lag und ennu eniku thoni
Positive , Ikka de carter hit aavm Maamankam ennathil oru samsyavum vndaaa
Positive , vaada a otta vili athu mathi .athu maathram mathi
not-malayalam , Mammooka fan - kannadiga from Dubai
unknown_state , Babynet  oppam Shane nigam venaayirunnu Enna ithinakaal adipoliyaayirikum Shanente fans adi like
Positive , #mamangam uff ijjathi trailer oru rakshem illa poli
Positive , Nalla polippan school life kanam katta waiting for you Mammukka
unknown_state , Trailer kande oru pidium illatha aralum
Negative , Feeling sad am studying in punjab ivde release aakuvo
unknown_state , Polikkum mammukkante pattalam movie orth poyath njaan maatramaano..??
not-malayalam , Tamilnadu thala fans sarpakka movie hit panna valthukal
unknown_state , Padam release cheyunne annu thanne kanumanne urapullavar Like adike machanmaree
Mixed_feelings , Telugu padam pole aavaathirunnal mathiyaayirunnu.fight okke ethandu athupole thanne
unknown_state , Thirunavayile arenkilum undo  Trailer like cheyan marakanda
Positive , INI aarum UNDA enna peril kaliyaakkilla.oru adaar trailer
unknown_state , movie kandathinu shesham onum kudi trailer kanan vanaver like
unknown_state , Mammoka fans and laletan fans Katta waiting
Positive , Eee eid ikka ang edutthu ennu paranjekk
Positive , Ahaa hahaha ha.... Nte ponnikkka mutheeee
unknown_state , Fan show set...arokke fan showkk pokunnu und
Positive , Pwoolich....adhya 3 manikkoor il...30k kku mukalil views....
Positive , Ithin dislike addikunavar lokka tholvikallayirkkum
not-malayalam , Visit on link Vov yar so sad made me crying so sad omng  very sad must watch Osmmmosmmmmmmmmmmmmmmmmmmmmm
unknown_state , Ini nammalarenkilum chathale sarkar sradhikku ennano... ith porikkum
Positive , FDFS LOCKED  LALETTAN  RAJUETTAN  uff ejathi
Positive , Feel good movie 2019 le best movie aavum ithu urappu
Negative , 1k dislikes Ella dislike pannikalkum endhe naduviral namskaram
unknown_state , Mohan Lal Katy’s fans onnn like Chevu Chet daaaa Lal attan
Positive , 2million... One day poolumaayillaaaa. Iragittt.. Great lalettaa
Positive , Eante ponnooo romanjam vannu poeonnum parayanilla
Positive , Eth oru onnonnara padam aavum enn urappullavar like adi
Positive , Surajettan kunjunni mash ayi abhinayichal powlikku.m
Positive , Pakka trailer. Rajuvettan Brilliance. Lalettante all time best character aavum.. luv u laletta
unknown_state , Raaza..u Do
Positive , Lucifer kandu. Eny Ethu. Kananam.. Ohhhh.
Positive , Lalettan fans full support und makkaleee......
unknown_state , Keralathinu purathu ninnulla anyaphashakar adi like
unknown_state , All Kerala mohanlal fans nte power onnu kanichu kodukk.....like ..
Negative , Adhikam hype venda
Positive , Ithu kidukkum
unknown_state , am a lalettan fan... but lalettane arum pokendaa... director prithviannuu
not-malayalam , 4.3k dislikes what a bullshit man's
Positive , Padam 1 st day kaanum athu urappu.
Positive , masss effect
not-malayalam , من متى أعرفك اصلا حتى انساك
Positive , Arudeyum kaneer oppan vannadhalla njn... !! Pakshe karayikunnavarude thala njn adichu pwolikkum🤙 full on full power
Positive , Again Again Rajuvettan Theertha Ee vismayam kanaan vanne nokkunavarundoo...
Positive , Costumes Irshad khan Cherukunnuijj Poli mutheeee
