category,text
Positive , Trailer late ah parthavanga like podunga
Positive , Move pathutu vanthu trailer pakurvnga yaru
Positive , Puthupetai dhanush  ah yarellam pathinga
Positive ," Dhanush oda character ,puthu sa erukay , mass ta"
Positive , vera level ippa pesungada mokka nu thalaivaaaaaa
Positive , Thala mass . U1 bgm.     Vera level
Negative , ivara pathta death vadi madiri irukku
Positive , 0:28 90's kids reference  Maadila irunthu kudicha Shakthiman kaapathvaaru
Positive , Aiyoo thala mass pannita thala
Mixed_feelings , ENPT ku kaathu kadanthathellam oru nimishathula poiruchu
Negative , When Pandey gets up  Vandumurugan : IM SPEAKING.. NO CROSS SPEAKING... SITTT DOWNNN
Negative , Remake of Malayalam Mohanlal movie Devadoodhan
Positive , Tharamaana sirappaana sambavam inimeal ta paaka pora....
unknown_state , Viswasam trailer paathutu Inka vanthavanga like panuga
Positive , Maran  kattu kattitamnue verithanam thalivaaàa
Positive , Ella trailer la last la oru Mass dialouge vaichikuringaaa paaaa
Positive , Eppa Saamy thala padathula Vera director pera...pakurathu evalo periya santhosama iruku.....
Mixed_feelings , En thalaivan vijaysethubathi kaga matume na padam papan matha entha p..... illa
Positive , Kanithan + mugamoodi Neenga nambalainalum ithan nesam
Positive , Enakku iru mugan trailer gnabagam than varuthu
Positive , ARE YOU EXPECTING HAPPY DEEPAVALI FORCE DIALOGUE IN 2.0 MOVIE
Mixed_feelings , Sakthimaan fans like Sivakarthikeyen fans comment
Mixed_feelings , rajini and akshay fans hit like
Positive , 1 hour 1 million likes
Positive , Raww vana padama iruku  all the best
unknown_state , Thalaiva.. full Support from kerala Mohanlal Fans
Negative , En da.. trailer layae ivlo slow motion nah.. padathula paathi duration slow motion layae mudichirpeenga polayae
Positive , Thalaiva ungala screen pakkum pothey ippadiiii erukinga na  Nerla partha yappidiiii erupinga Oru murai tharisanam kedaikumaaaa
Negative , Rajini ah vida akshay mass ah irukane
Positive , Thala koda compare panna yarukum thakuthi kidaiyathu mind it
Positive , Marana mass marana style marna gethu mass trailer rajinified
unknown_state , Paruthiveeran Karthi Back  Lokesh Kangaraj Screenplay
Mixed_feelings , Diwali annante aniyan ullaltha  Step back bigil
Negative , Dialogue pundaiye puriyala. Otha theatre la nacham sound seri pannungada.
Negative , Poda mokka moonjI unna pathale siriputhan varuthu super herovaam adutha mugamoodiii
Negative , dei kelthu kuthi ajith ivanya yaru nadika sona🤢🤢🤢
Negative , Yaaru ivanaa... INDHA Kosu Asoorana dei ennada Unga Rasana....
Positive ," Namma kitte kaadu iruntha,eduthukuvanga Namma kitte roopa iruntha, pudukiku vaanga Padippu mattum namma kitte irundhu eduthukave mudiyathu  Superb lines"
Positive , Ethukkuda ivlo actors hypo....thalaivar padamna avar matumtha  irukanum...
Positive , Thlaiavaa... Thalaivaa... Thaliava... Thalaivaa.... Thalaivaa...
Mixed_feelings , epdi like pottavan Eallarum seathupogada
Positive , சுயமாக சிந்திக்க தெரிஞ்சவன் தான் சூப்பர் ஹீரோ' - 100% true in the age information abundance and mass distractions.
Positive , Supper dhanush Anna mass waiting asuran
Positive , Vera lvl thalaiva u r great
Negative , Mobile main mera phek dunga iPhone x BARNA aisa problem hoga
not-Tamil , Sala kuch smjh nhi aaya pr mja aaya
Mixed_feelings , Ellam avan sayal movie mathiriya irukku🤔
Positive , Boss you looking so handsome ND young kekaa
Mixed_feelings , Pattaya kelapitey Siva!!!  Awesome!!!
Mixed_feelings , Dahaaaaaaa chitii come back I am waiting get ready to 2.0
Mixed_feelings ," Boni kapoor sir ini entha update illama ethum release panathinga sir,  intha chinna pasanga tholla thanga mudiyala"
Positive ," Looks thrilling, thala get up super as lawyer , dai pandey neeya da"
Negative , Neenga enna vena kathukonga aana Hollywood padathukku dubbing mattum kathukathinga
Positive , Ena da nadakuthu inga.. Epaaa sathiyamaa edir pakatha trailer.. TOTALLY UNIMAGINABLE TRAILER. THALIVAR
Positive , 1:43  Thala da    By thalapathy fan
Positive , Sun picture best or Vijay TV best sp best na dislike pannuga Vijay TV best na like pannuga
unknown_state , Hey Makkalay yaaru Darbar Motion Poster announcementku apram vantheenga
Positive , Last dialoge thala fans ungalukkuta Iam Vijay fan trailer super
Mixed_feelings , Hollywood range la iruku padam Kandipa blockbuster hit! Semma story....
Positive , But ore oru varutham ennana Sunday release pannirukkalam yesterday aavathu announcement pannirukkalam
Positive , Semmma style... rajini sir is back...
Positive , My Dear Thala ahhhhhhhhhhhhhh semma GETHU
Mixed_feelings , Idduke ₹500 va tarlam... kolla mass
Positive , Movie savadi vera level poo..thalaivar thalaivar thaa..mass
Positive , Super thalaiva .Semma mass. Intha movie blockbuster thaan. FDFS poravanga like pannunga.
Mixed_feelings , 92k views 132k likes  Fraud
Positive , 3 minute trailor vida thil irukkaa....bollywood la panranga....tamila mudiyuma???????
Positive , Dai ranjit nee idha parthu film eduka kathuko
Positive , Trailer fast ah podu Ana Background la main bgm illaye Fyt Ku Varadhinga Da Unmaiya tha slura
Positive , Superb  Vivek Mervin pinnitinga ponga... Ungalukagave padam pakanum
Positive , Viswasam likes aa pathu payainthu vainthavainga yar yar like pothathu.....
Positive , 1:36 *thaa enna look-u daa saami  That bgm lit
Positive , Guyzz 1m likes vara varaikum vitraadheenga...
unknown_state , Padaiyatchi nu sonna mattum ungalukku jaathi veri nagi reddi settiyar mudaliar nu sonna adhu jaathi veri illaya
Positive , Velraj sir thalaivana masss a kamchirukaru vera level u
Mixed_feelings , U1 kaga paakuradha illa sk kaaga verukuradhane therila but mithran + u1 kaaga kandipa paakanum
Positive , Iam vijay fan kerala and iam waiting super star's petta
Mixed_feelings , Oh my god .. it's rajini for you
Positive , 0:52 thala looka apdiyae vechurkaru pa.  Without audio la paata thalaikum ivrukkum vityasam teriyathu
Positive , Dai yaaru da antha 36k? apadi enna da enga thala mela ungaluku Gaandu?!
Mixed_feelings , Love u thalaivaaaaaaa avangala aarani Anastasia's Alabama and Anastasia's
Positive , Iam sk fan aanaa trailer semma
Positive , Wow padam tharu mara iruka poguthu  This pongal petta diwali
Positive , Sema mass marana mass tha i love rajini
Positive , 800k likes varavareku nanu thungamatte nenaikiravage like podunge
Positive , Damn..im a proud. Chiyaan vikram fan..
Positive , Enna panna porom sweet sapda porom....
Negative , entha kannada naiyai ennum tamilnattil erunthu anupalaiya?
Positive , Vaa thalaiva via diwali mass ur movie bikil  out
Positive , Veralevel performer Dhanush sir
Positive , No means no entha dialogue thalaya thavara yaru sonna nallairukumnu tharayala
Positive , Super akshay sir i love u sir
Positive , Looks like he will SET SCREEN ON FIRE
unknown_state , Ninga vena yenkuda classah passah suthla aana yen massu yennanu teriyathulla
Positive , It's pink with ajith Kumar ka chutiyapa
Positive , Rmba sandhosama irukku. Thala ipdi suspense movie la nadichadhu.and rlz kaga waiting.
Positive , Villaina mass aa kattallayea.  So sad.  Villain mass aa iruntha thaa movie mass aa irukkum
Positive , Trailer vera level athana Da....aamai kunjugala
Mixed_feelings ," Yenda, padathoda ottumoththa kadhaiyayum idhudhan nu potu kaatra mariya da trailer pannuveenga."
Positive , Nambakita kadu iruntha vangikuvanunga kasu iruntha puduingikuvanunga padipa Mattum pudungavey mudiyathu chidambaram
Positive , 1:20 to 2:29 marana massssss
unknown_state , Thalapathy 64 villan ku Oru like podu
Positive , No.1 trending....yellarum idha thana ketutu irundhinga
Positive , Dhanush fans hit like here.....
Negative ," E,,adicha copy da,,,ithu ellam avan seyal movie"
Positive , Like so much Thala from AP PawanKalyan Anna fans
Mixed_feelings ," Yellaam super, but nawazudin voice mattum nalla illa."
Positive , Wow. I love you Thalaivaaaaaa.
Positive , Thala..... Kola waiting eppo yaa release panna poringa
Positive , Vaalum theivam ajith Kumar Manitha kadavul ajith Kumar Sokka thangam ajith Kumar En uyirai kaakum ajith Kumar Ulaga uthaman ajith Kumar...
Mixed_feelings ," Ethukku ethellam..! Vvs,rajini murugan mari comedy movie pathuttu...! Entha movie pakka mudiuma.....?"
Positive , Comment box pakka vantha like podunga
Mixed_feelings , Thalaivar varuvaru sure aa adippaaru
Mixed_feelings , Who else are here after Sarkar movie?
Positive , Dialogues ah illama mass scenes la pesirukalaam
Positive , Pongal namalukku super collection ma !
Mixed_feelings , Ennada pittalatama irruku views 51k but likes 99k va
Positive , Thalaivaaaa..! ippa Enna panna porom?? Sweet sapda porom...!
unknown_state , I am thalapathi fan...but thalapathi ku apram karthi Anna va than pidikum..intha Diwali enaku double treat....
Positive , Yuvan bgm kola mass thalaiva marana waiting for #valimai
Positive , Thalaivar ku ennum vaisae agala Sema
Positive , Kaithi blockbuster movie  Bigil Abhi tak hit bhi nhi huvi
Positive ," Ippa enna panna poram sweet sapada porom ,,,super awesome"
Positive , Thala  U1  Yuvan Shankar Raja  Mass....
Positive , Shakthiman fans kill the like button
Mixed_feelings , 1:53 Ant-Man ah pottu Hope pottu polakra adhe smack
Mixed_feelings , Screen Presence la ungala adichukka vera evanum illa Thala
Positive , Vera level movie & vasool NKP
Mixed_feelings , Vera level acting thalaivar Mass's pakka mass sry petta masssss SSS
Positive , Sahoo 12 million nkp innu 9 million tha 🤣🤣🤣
Mixed_feelings , Senseless movie ..  just video game..
Positive , Thala fans saarbaaga motion poster vendum adhe
Negative , Rajinikanth sir is my favorite Hero says ARR
Negative , Kadaram Kondan vs Saaho.... I'm waiting....
Positive , 0.35 & 0.55 sec   wowwwww
Positive , Last dialogue suit for all fans
Positive , Thala fans hit like me....
Negative , Edho sadhi nadakudhu pa inum trending la varala
Positive , Kalaila enthirucha udane thala ah paaka vathavanga oru like ah podunga
Mixed_feelings , Shankar sir next film vijay and katrina kaif and perya herova villain ah pana veinga
Mixed_feelings , Dai bahubali 1 & 2.    Kelambu kelambu.
Positive , PINK Bollywood  But Like Ajit kumar
Negative , Comedy ya erukku ithukku billa pandi ok
Positive , Vs anna semma.......🤗epavum pola neega vera level.........
Positive , Kk chiyan vikram in kadaram kondan best wishes
Positive , 1:34 Enna paarva da idhu goosebumps guaranteed
Positive , Marana marana marana.. Sirapana tharamaana padam ...🤗🤗🤗🤗
Positive , Thala look sema mass nu soldravanga mattum oru like podunga
Positive , Vanthathu vanthuteenga thala fans ellarum like potutu ponga
Positive , enada pandey news ah vittutu cinema la nadikuran
Positive , Ena da bgm ithu yuvannnnnnnnnn rocksssssss
Positive , 1st like Vijay Fanss Hit Likes
Mixed_feelings , Ex police cop become a prisoner.
Positive , Trailer late ah parthu miss pannavanga.... Ippo happy ah
Positive , Nazawuddin Siddiqui in pettai  tharamana mudivu
Negative , Oru pakkam bigil. Bigil anil kunjugalin alaparaikal
Positive , Super  yaru nu keta chinna kulandhai um solum....... Maestro of Style
Positive , Dhanush Indha padathula ethana pera vetunarunu yarachum therinja solunga....
Positive , Vijay sethupathi fans hit like here
Positive , Aiyo enaku ipave thalaya padathula pakanumnu eruku
Positive , THALAAAA  & U1 again ROCK
Positive , Petta telugu la illea ? missing in tollywood
unknown_state ," Story match kaakapoinaa, Konni Konni shots Sukumar Rangasthalam laaga ne undhi choodataniki"
Positive , Telugu  Thala fan's hit likes
Negative , Ennada 10M views ku 5th day laye ivlo mukkudhu nu solra bot anil p*** pasangala... No bots no Visay
Positive , akshay kumar as shiva kumar
Mixed_feelings , Siripu vantha oru like podunga
Negative , Teaser la iruntha yedho onnu trailer la missing! Aana ithuvum nalla than irukku
Positive , 🤣🤣🤣Maran waiting la panavendam poi saavunga Ajith fans
Positive , Dhanush fans sarbaga padam vetri adiya valthukal
Positive , Sweet sappuda porom  Sweet saputtu apdiye ethavthu karama (Viswasam) sappuduvom
Positive , Pazhaya Rajinikanth ah paatha feeling pa....
Mixed_feelings , Maranam mass uh maranam Petta Athukku avar thaa poranthu varanum Thalaivar
Positive , neraya neraya neraya neraya neraya what a  performance voice Vera level.
Positive , Ithan diwali fight..semme kartik..story value va hero value r nu..
Positive , Dhanush fans oru like potutu ponga
Positive , Pink !! But like for Ajith
Positive , Beginning of satyayuga end of kaliyuga
Positive , Dhanush sir ku Ella get up um set aagudhu
Positive , Inimal Sun Networkla Petta promo poda start panniduvaanga
Positive , neraya neraya neraya neraya neraya what a powerful voice.
Positive , thala dye adikkam irukanaalathan naama nimathiya irukkamudiythu.thala takkarudoi.....
Positive , Krish movie mask mathiri erukku pa....
Positive , Chiyaan vikram sir vera 11
Positive , Ethe maari ennamo Padam pathaa maatiye eruke 🤔🤔🤔
Positive , thala thanta thalaiya minja evanta
Positive , 2.0 late a vanthalu latest  a vanthurukku
Mixed_feelings , Thatha ku jodiya paatis Padam nalla irrukum pola
Mixed_feelings , 1999 :padappa-vali now 2019 petta -viswasam
Negative , Bigil satham ketta ella kaithiyum amaithithan
Positive , Confirm 1M likes varumnu soldravange like podunge machanzz
Positive , Happy new year  Thalaivar padam mass kata pothu
Positive , Thala Vera Level Maas  U1 Bgm Ultimate
Mixed_feelings , Yenda thala enga thala ya vada dislike panni irukkenga
Negative , Dai youtube trending la podu da
Positive , sam c.s vera level ya un bgm
Positive , Thala vera level n yuvan bgm semmeee...
