label,text
check_human,are you a bot?
check_human,am i speaking to an ai?
check_human,are you a [human](money) or a bot?
check_human,are you [real](work-of-art)?
check_human,who are you?
check_human,you are a bot for sure?
check_human,i don't think you are human?
check_human,you no human you bot
check_human,you are definitely a bot
check_human,don't know what you are? bot?
affirm,indeed
affirm,[correct](cardinal)
affirm,that [sounds](quantity) good
affirm,[yes](url)
affirm,yess [please](email)
affirm,of course
affirm,sure
affirm,ahaan
affirm,ohkay
affirm,yeah dude
affirm,for sure
affirm,yeah right
ask_transfer_charge,Will I be [charged](phone) for transferring money
ask_transfer_charge,how much will you charge
ask_transfer_charge,what is your exchange fees
ask_transfer_charge,are you taking money for transfers
ask_transfer_charge,too much money for exchange
ask_transfer_charge,do transfers cost [something](duration)?
ask_transfer_charge,is there a [transfer](percent) charge?
ask_transfer_charge,Is there a [charge](ORG)
ask_transfer_charge,Is there an extra [charge](ORG)
ask_transfer_charge,the additional charge is too much
check_balance,[How](LANG) much money is on my [account](law)?
check_balance,[How](norp) much money is on my [bank](account_type) account?
check_balance,[what's](ordinal) my [balance](amount-of-money)?
check_balance,[what's](person) my [current balance](amount-of-money)?
check_balance,[What's](product) left on that account?
check_balance,[How](location) much do I have on that account?
check_balance,[What's](event) the [balance](amount-of-money) on that account?
check_balance,[How](geo-political-entities) much money is left on that account?
check_balance,[what](time) is my account [balance](amount-of-money)
check_balance,[what's](distance) my account [balance](amount-of-money)?
check_balance,[what's](distance) my account [balance](amount-of-money)
check_balance,[whats](facility) my account [balance](amount-of-money)
check_balance,[what](temperature) is my [bank](account_type) account [balance](amount-of-money)
check_balance,what's my [bank](account_type) account [balance](amount-of-money)?
check_balance, what's my [bank](account_type) account [balance](amount-of-money)
check_balance,whats my [bank](account_type) account [balance](amount-of-money)
check_balance,What's my [credit card](account_type) [balance](amount-of-money)
check_balance,What's my [credit](account_type) [balance](amount-of-money)
check_balance,How much money do I owe on my [credit cards](account_type)
check_balance,Show me my [credit card](account_type) [balance](amount-of-money)
check_balance,What [credit](account_type) accounts do I have
check_balance,Show me my [credit](account_type) accounts
check_balance,Whats the [balance](amount-of-money) on my [credit](account_type) account
check_balance,What's my [credit](account_type) account
check_balance,What's my [emblem](credit_card) [card](account_type) [balance](amount-of-money)
check_balance,Show me my [iron bank](credit_card) [balance](amount-of-money)
check_balance,What's my [justice bank](credit_card) [balance](amount-of-money)
check_balance,What's the [balance](amount-of-money) on the [justice bank](credit_card) account
check_balance,what's my [emblm](credit_card) [credit card](account_type) [balance](amount-of-money)?
check_balance,what's my [credit card](account_type) [balance](amount-of-money)?
check_balance,what's my [credit card](account_type) account [balance](amount-of-money)?
check_balance,What is my [emblem](credit_card) [card](account_type) [balance](amount-of-money)?
check_balance,whats my [credit card](account_type) [balance](amount-of-money)
check_balance,what's my [emblm](credit_card) account [balance](amount-of-money)?
