text,value
hajagiree  0,हजगिरी
chekaanv  1,चेकॉव
spinagaarn  2,स्पिनगार्न
medal  3,मेडल
chetthinaad  4,चेत्तिनाद
hari  5,हरी
bhoomi  6,भूमि
yaanhmsan  7,थॉम्सन
hanumaan  8,हनुमान
abhinetri  9,अभिनेत्री
to  10,टू
abhinetri  11,अभिनेत्री
to  12,टू
hajagiree  13,हजगिरी
chekaanv  14,चेकॉव
spinagaarn  15,स्पिनगार्न
medal  16,मेडल
chetthinaad  17,चेत्तिनाद
hari  18,हरी
bhoomi  19,भूमि
yaanhmsan  20,थॉम्सन
hanumaan  21,हनुमान
abhinetri  22,अभिनेत्री
to  23,टू
abhinetri  24,अभिनेत्री
to sdkc   25,टू
towiugw  26,टू
hajagiree  27,हजगिरी
chekaanv  28,चेकॉव
spinagaarn  29,स्पिनगार्न
medal  30,मेडल
chetthinaad  31,चेत्तिनाद
hari  32,हरी
bhoomi  33,भूमि
yaanhmsan  34,थॉम्सन
hanumaan  35,हनुमान
abhinetri  36,अभिनेत्री
to  37,टू
abhinetri  38,अभिनेत्री
to  39,टू
hajagiree  40,हजगिरी
chekaanv  41,चेकॉव
spinagaarn  42,स्पिनगार्न
medal  43,मेडल
chetthinaad  44,चेत्तिनाद
hari  45,हरी
bhoomi  46,भूमि
yaanhmsan  47,थॉम्सन
hanumaan  48,हनुमान
abhinetri  49,अभिनेत्री
to  50,टू
abhinetri  51,अभिनेत्री
to sdkc   52,टू
towiugw  53,टू
hajagiree  54,हजगिरी
chekaanv  55,चेकॉव
spinagaarn  56,स्पिनगार्न
medal  57,मेडल
chetthinaad  58,चेत्तिनाद
hari  59,हरी
bhoomi  60,भूमि
yaanhmsan  61,थॉम्सन
hanumaan  62,हनुमान
abhinetri  63,अभिनेत्री
to  64,टू
abhinetri  65,अभिनेत्री
to  66,टू
hajagiree  67,हजगिरी
chekaanv  68,चेकॉव
spinagaarn  69,स्पिनगार्न
medal  70,मेडल
chetthinaad  71,चेत्तिनाद
hari  72,हरी
bhoomi  73,भूमि
yaanhmsan  74,थॉम्सन
hanumaan  75,हनुमान
abhinetri  76,अभिनेत्री
to  77,टू
abhinetri  78,अभिनेत्री
to sdkc   79,टू
towiugw  80,टू
hajagiree  81,हजगिरी
chekaanv  82,चेकॉव
spinagaarn  83,स्पिनगार्न
medal  84,मेडल
chetthinaad  85,चेत्तिनाद
hari  86,हरी
bhoomi  87,भूमि
yaanhmsan  88,थॉम्सन
hanumaan  89,हनुमान
abhinetri  90,अभिनेत्री
to  91,टू
abhinetri  92,अभिनेत्री
to  93,टू
hajagiree  94,हजगिरी
chekaanv  95,चेकॉव
spinagaarn  96,स्पिनगार्न
medal  97,मेडल
chetthinaad  98,चेत्तिनाद
hari  99,हरी
bhoomi  100,भूमि
yaanhmsan  101,थॉम्सन
hanumaan  102,हनुमान
abhinetri  103,अभिनेत्री
to  104,टू
abhinetri  105,अभिनेत्री
to sdkc   106,टू
towiugw  107,टू
hajagiree  108,हजगिरी
chekaanv  109,चेकॉव
spinagaarn  110,स्पिनगार्न
medal  111,मेडल
chetthinaad  112,चेत्तिनाद
hari  113,हरी
bhoomi  114,भूमि
yaanhmsan  115,थॉम्सन
hanumaan  116,हनुमान
abhinetri  117,अभिनेत्री
to  118,टू
abhinetri  119,अभिनेत्री
to  120,टू
hajagiree  121,हजगिरी
chekaanv  122,चेकॉव
spinagaarn  123,स्पिनगार्न
medal  124,मेडल
chetthinaad  125,चेत्तिनाद
hari  126,हरी
bhoomi  127,भूमि
yaanhmsan  128,थॉम्सन
hanumaan  129,हनुमान
abhinetri  130,अभिनेत्री
to  131,टू
abhinetri  132,अभिनेत्री
to sdkc   133,टू
towiugw  134,टू
hajagiree  135,हजगिरी
chekaanv  136,चेकॉव
spinagaarn  137,स्पिनगार्न
medal  138,मेडल
chetthinaad  139,चेत्तिनाद
hari  140,हरी
bhoomi  141,भूमि
yaanhmsan  142,थॉम्सन
hanumaan  143,हनुमान
abhinetri  144,अभिनेत्री
to  145,टू
abhinetri  146,अभिनेत्री
to  147,टू
hajagiree  148,हजगिरी
chekaanv  149,चेकॉव
spinagaarn  150,स्पिनगार्न
medal  151,मेडल
chetthinaad  152,चेत्तिनाद
hari  153,हरी
bhoomi  154,भूमि
yaanhmsan  155,थॉम्सन
hanumaan  156,हनुमान
abhinetri  157,अभिनेत्री
to  158,टू
abhinetri  159,अभिनेत्री
to sdkc   160,टू
towiugw  161,टू
hajagiree  162,हजगिरी
chekaanv  163,चेकॉव
spinagaarn  164,स्पिनगार्न
medal  165,मेडल
chetthinaad  166,चेत्तिनाद
hari  167,हरी
bhoomi  168,भूमि
yaanhmsan  169,थॉम्सन
hanumaan  170,हनुमान
abhinetri  171,अभिनेत्री
to  172,टू
abhinetri  173,अभिनेत्री
to  174,टू
hajagiree  175,हजगिरी
chekaanv  176,चेकॉव
spinagaarn  177,स्पिनगार्न
medal  178,मेडल
chetthinaad  179,चेत्तिनाद
hari  180,हरी
bhoomi  181,भूमि
yaanhmsan  182,थॉम्सन
hanumaan  183,हनुमान
abhinetri  184,अभिनेत्री
to  185,टू
abhinetri  186,अभिनेत्री
to sdkc   187,टू
towiugw  188,टू
hajagiree  189,हजगिरी
chekaanv  190,चेकॉव
spinagaarn  191,स्पिनगार्न
medal  192,मेडल
chetthinaad  193,चेत्तिनाद
hari  194,हरी
bhoomi  195,भूमि
yaanhmsan  196,थॉम्सन
hanumaan  197,हनुमान
abhinetri  198,अभिनेत्री
to  199,टू
abhinetri  200,अभिनेत्री
to  201,टू
hajagiree  202,हजगिरी
chekaanv  203,चेकॉव
spinagaarn  204,स्पिनगार्न
medal  205,मेडल
chetthinaad  206,चेत्तिनाद
hari  207,हरी
bhoomi  208,भूमि
yaanhmsan  209,थॉम्सन
hanumaan  210,हनुमान
abhinetri  211,अभिनेत्री
to  212,टू
abhinetri  213,अभिनेत्री
to sdkc   214,टू
towiugw  215,टू
hajagiree  216,हजगिरी
chekaanv  217,चेकॉव
spinagaarn  218,स्पिनगार्न
medal  219,मेडल
chetthinaad  220,चेत्तिनाद
hari  221,हरी
bhoomi  222,भूमि
yaanhmsan  223,थॉम्सन
hanumaan  224,हनुमान
abhinetri  225,अभिनेत्री
to  226,टू
abhinetri  227,अभिनेत्री
to  228,टू
hajagiree  229,हजगिरी
chekaanv  230,चेकॉव
spinagaarn  231,स्पिनगार्न
medal  232,मेडल
chetthinaad  233,चेत्तिनाद
hari  234,हरी
bhoomi  235,भूमि
yaanhmsan  236,थॉम्सन
hanumaan  237,हनुमान
abhinetri  238,अभिनेत्री
to  239,टू
abhinetri  240,अभिनेत्री
to sdkc   241,टू
towiugw  242,टू
hajagiree  243,हजगिरी
chekaanv  244,चेकॉव
spinagaarn  245,स्पिनगार्न
medal  246,मेडल
chetthinaad  247,चेत्तिनाद
hari  248,हरी
bhoomi  249,भूमि
yaanhmsan  250,थॉम्सन
hanumaan  251,हनुमान
abhinetri  252,अभिनेत्री
to  253,टू
abhinetri  254,अभिनेत्री
to  255,टू
hajagiree  256,हजगिरी
chekaanv  257,चेकॉव
spinagaarn  258,स्पिनगार्न
medal  259,मेडल
chetthinaad  260,चेत्तिनाद
hari  261,हरी
bhoomi  262,भूमि
yaanhmsan  263,थॉम्सन
hanumaan  264,हनुमान
abhinetri  265,अभिनेत्री
to  266,टू
abhinetri  267,अभिनेत्री
to sdkc   268,टू
towiugw  269,टू
hajagiree  270,हजगिरी
chekaanv  271,चेकॉव
spinagaarn  272,स्पिनगार्न
medal  273,मेडल
chetthinaad  274,चेत्तिनाद
hari  275,हरी
bhoomi  276,भूमि
yaanhmsan  277,थॉम्सन
hanumaan  278,हनुमान
abhinetri  279,अभिनेत्री
to  280,टू
abhinetri  281,अभिनेत्री
to  282,टू
hajagiree  283,हजगिरी
chekaanv  284,चेकॉव
spinagaarn  285,स्पिनगार्न
medal  286,मेडल
chetthinaad  287,चेत्तिनाद
hari  288,हरी
bhoomi  289,भूमि
yaanhmsan  290,थॉम्सन
hanumaan  291,हनुमान
abhinetri  292,अभिनेत्री
to  293,टू
abhinetri  294,अभिनेत्री
to sdkc   295,टू
towiugw  296,टू
hajagiree  297,हजगिरी
chekaanv  298,चेकॉव
spinagaarn  299,स्पिनगार्न
